test_id,test_name,attr_id,attr_name,unit,unique
101305,HbA1c,102057,HbA1c,%,"['10.3' '7.1' '6.7' '7.6' '6.1' '8.2' '5.9' '6.9' '6.5' '8.3' '5.3' '8.4'
 '5.4' '5.5' '7.0' '7.3' 'nan' '9.3' '5.6' '7.4' '6.0' '6.4' '9.4' '6.3'
 '10.5' '6.8' '8.0' '10.6' '6.6' '6.2' '5.8' '7.9' '5.7' '12.8' '8.6'
 '4.6' '4.3' '7.2' '12.4' '8.1' '10.8' '10.1' '8.9' '7.8' '9.1' '13.3'
 '5.1' '14.5' '11.1' '10.7' '7.7' '10.4' '9.2' '9.6' '5.2' '8.8' '11.5'
 '9.0' '10.9' '10.2' '13.8' '8.7' '7.5' '4.9' '8.5' '5.0' '9.9' '11.0'
 '12.5' '11.6' '4.1' '12.0' '9.7' '4.8' '12.2' '13.0' '8' '9' '6' '11'
 '11.3' '11.4' '12.1' '9.5' '11.8' '10' '7' '11.7' '9.8' '15.3' '11.2'
 '11.9' '13.5' '14' '12.9' '14.4' '13.2' '17' '12.7' '14.1' '13.1' '13.6'
 '4.5' '5' '13' '14.3' '13.7' '14.8' '15.6' '12.6' '15.9' '12' '4.7' '16'
 '13.9' '18' '12.3' '3.9' '3.7' '13.4' '16.1' '14.9' '7.70' '10.0' '14.0'
 '15.1' '17.4' '15.2' '14.2' '16.7' '15.8' '4.2' '3.8' '4.0' '16.0' '14.6'
 '5.20' '7..3' '15.5' '3.3' '15.0' '4.4' '6.60']"
101602,Fasting Blood Sugar (FBS),101211,Fasting Blood Sugar,mmol/L,"['5.3' '6.1' '13.1' '5.8' '4.7' '6.3' '6.7' '5.5' '5.9' '9.1' 'nan' '9.5'
 '10.3' '6' '10.1' '7.9' '5' '7.6' '7.5' '8.7' '13.7' '19.8' '6.8' '5.2'
 '6.6' '5.0' '7.7' '10.2' '14.6' '5.7' '5.1' '8.3' '7.8' '6.4' '5.6'
 '19.2' '6.2' '23.7' '16.1' '5.4' '4.5' '13.8' '8.9' '11.4' '6.5' '9.2'
 '11.8' '7.1' '13.2' '8.0' '6.0' '8.2' '17.0' '4.9' '10.8' '8.5' '8.8'
 '12.8' '4.8' '15.4' '4.3' '14.1' '9.0' '11.6' '21.3' '19.3' '7.0' '7.4'
 '6.9' '8.1' '8' '7.2' '12.7' '16' '14.9' '16.8' '15' '12.3' '10' '15.6'
 '4.6' '12.4' '9.8' '9' '11.2' '7' '19' '15.1' '12' '14.3' '12.1' '9.6'
 '10.6' '7.3' '11.7' '4.4' '4.2' '21.1' '9.4' '10.5' '15.2' '28.7' '12.5'
 '8.6' '17.8' '12.6' '23' '8.4' '4' '13.6' '10.7' '11.9' '18.9' '17.6'
 '9.7' '14.4' '11' '9.3' '13.3' '10.4' '15.7' '11.5' '4.1' '36.7' '11.3'
 '13.9' '16.3' '11.1' '14.5' '17' '18.1' '19.6' '12.9' '18.7' '16.4'
 '15.3' '14.0' '4.0' '13' '10.0' '18.2' '19.7' '17.9' '10.9' '20.8' '20.6'
 '16.7' '3.3' '14.7' '13.5' '3.9' '3.7' '3.8' 'N/S' '11.0' '19.9' '12.0'
 '15.0' '9.9' '18.6' '20.4' '12.2' '14.2' '18.3' '20.9' '13.4' '20.7'
 '16.2' '23.1' '21.5' '15.5' '3.6' '17.3' '18.5' '17.7' '17.2' '21' '17.4'
 '15.9' '13.0' '18' '19.0' '16.0' '3.4' '20.5' '14' '22.6' '22.0' '27.0'
 '23.0' '18.0' '26.0' '20.0' '28.0']"
101304,Electrolytes Serum,101214,Sodium,mmol/L,"['143' '146' '155' '140' '138' '177' '130' '147' '144' '142' '139' '135'
 '178' '182' '141' '156' '137' '136' '132' '134' '154' '128' '126' '133'
 'nan' '145' '167' '159' '127' '165' '153' '131' '188' '104' '125' '150'
 '149' '151' '148' '106' '108' '112' '152' '117' '123' '180' '170' '124'
 '173' '105' '115' '162' '158' '129' '119' '109' '157' '140.0' '141.0'
 '144.0' '161' '122' '147.0' '120' '121' '116' '111' '164' '172' '114'
 '113' '118' '168' '163' '110' '169' '136.0' '128.0' '101' '135.0' '96'
 '174' '107' '160' '120.0' '132.0' '124.0' '137.0']"
101304,Electrolytes Serum,102050,Potassium,mmol/L,"['3.0' '3.3' '2.9' '4.1' '5.1' '2.8' '4.3' '4.4' '4.9' '3.8' '3.4' '5.2'
 '3.9' '3.6' '4.0' '3.7' '4.5' '4.8' '2.7' '4.2' '4.7' '3.2' '3.5' '2.6'
 '3.1' '5.6' '5.0' '5.5' '5.4' '5.7' '4.6' '6.4' 'nan' '5.3' '6.3' '6.8'
 '7.1' '2.1' '5.9' '6.5' '6.1' '2.5' '2.4' '3..5' '6.7' '2.2' '5.8' '2.3'
 '6.9' '8.0' '3' '4' '2' '5' '7.5' '7.7' '7.2' '7.6' '6.2' '6' '7.3' '6.6'
 '1.8' '8' '8.8' '1.5' '10.6' '1.6' '8.9' '9.1' '7' '1.4' '8.6' '8.7'
 '1.9' '5.95' '2.0' '9.3' '7.0' '6.0' '1.7' '7.9' '7.4' '8.5' '9.0' '7.8'
 '8.1' '8.3' '38']"
100824,Grouping + Cross Matching + Screening,3002195,Blood Group :,,"['""A""' 'nan' '""AB""' '""B""' '""O""' '""A\'' '""O ""' ""''B''"" ""''O''"" ""''A''""
 ""''AB''"" '""A' 'AB']"
100824,Grouping + Cross Matching + Screening,3002196,Rh Type :,,['Negative' 'nan' 'Positive']
100824,Grouping + Cross Matching + Screening,3002201,Blood Group :,,"['""A""' 'nan' '""AB""' '""B""' '""O""' '""A\'' ""''B''"" ""''O''"" ""''A''"" ""''AB''""
 'A']"
100824,Grouping + Cross Matching + Screening,3002202,Rh Type :,,['Negative' 'nan' 'Positive' 'Positve' 'positive' 'p']
100824,Grouping + Cross Matching + Screening,3002206,1.  HBsAg,,['Negative' 'nan' 'Positive' 'Not done' 'Not Done']
101497,CBC,104291,ESR,mm in 1st hour,"['76' '25' '52' '32' '67' '03' '09' '64' '30' '04' '39' '28' '02' '54'
 '35' '78' '84' '60' '33' '41' '42' '75' '37' '63' '22' '11' '40' '27'
 '43' '55' '15' '23' '49' 'QNS' '21' '13' '85' '44' '50' '99' '69' '53'
 '45' '47' '10' '05' '19' '07' 'nan' '62' '81' '29' '79' '12' '36' '51'
 '08' '70' '61' '71' '20' '93' '72' '101' '83' '34' '26' '17' '68' '46'
 '31' '18' '38' '24' '58' '65' '66' '14' '57' '48' '56' '16' '06' '97'
 '98' '94' '59' '74' '86' '77' '106' '88' '119' '90' '92' '73' '109' '120'
 '112' '89' '80' '103' '91' '105' '96' '104' '87' '95' '100' '5' '4' '3'
 '2' '7' '110' '9' '6' '82' '8' '113' '114' '108' '116' '115' '111' '145'
 '107' '125' '102' '140' '123' '117' 'Q.N.S' '118' '135' '230' '150' '130'
 '148' '.']"
100921,Lipid Profile Serum (R),102084,Total Cholesterol,mg/dL,"['238' '224' '152' '181' '173' '159' '677' '230' '113' '148' 'nan' '205'
 '201' '172' '182' '221' '163' '143' '126' '258' '257' '278' '177' '118'
 '174' '275' '237' '176' '228' '140' '133' '175' '153' '125' '156' '242'
 '236' '168' '119' '271' '190' '142' '192' '225' '157' '185' '226' '344'
 '204' '94' '154' '220' '217' '147' '151' '165' '214' '239' '297' '162'
 '129' '130' '171' '191' '262' '203' '155' '197' '164' '248' '179' '208'
 '166' '150' '189' '222' '105' '200' '178' '117' '196' '101' '103' '161'
 '188' '132' '180' '141' '114' '246' '314' '137' '124' '146' '111' '106'
 '184' '169' '136' '232' '99' '121' '252' '135' '193' '90' '233' '324'
 '107' '127' '231' '299' '282' '134' '187' '195' '183' '145' '160' '131'
 '247' '75' '241' '216' '194' '306' '202' '260' '167' '209' '158' '211'
 '100' '108' '122' '128' '245' '149' '144' '45' '198' '291' '229' '186'
 '139' '88' '212' '170' '80' '244' '92' '234' '272' '253' '240' '279'
 '210' '254' '206' '46' '138' '83' '110' '120' '102' '98' '104' '67' '123'
 '91' '112' '303' '116' '81' '109' '219' '293' '215' '97' '218' '256' '96'
 '227' '235' '288' '243' '89' '207' '199' '268' '223' '261' '263' '267'
 '286' '284' '309' '115' '285' '394' '87' '93' '86' '249' '450' '251'
 '213' '95' '386' '289' '259' '255' '59' '72' '82' '305' '78' '62' '264'
 '85' '322' '79' '267.0' '63' '84' '250' '276' '77' '281' '283' '296'
 '308' '294' '374' '266' '383' '287' '302' '205.0' '232.0' '269' '333'
 '74' '347' '619.0' '402' '310' '70' '320' '280' '273' '69' '841' '325'
 '277' '316' '332' '270' '295' '312' '330' '73' '274' '198.0' '453' '265']"
